Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/28/2025,12/29/2025,AMAZON MKTPL*FO79D17O3,Shopping,Sale,-66.78,
12/28/2025,12/29/2025,Prime Video Channels,Shopping,Sale,-4.99,
12/26/2025,12/28/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-22.99,
12/28/2025,12/28/2025,GOOGLE *YouTube TV,Bills & Utilities,Sale,-82.99,
12/25/2025,12/25/2025,GOOGLE *Crunchyroll,Bills & Utilities,Sale,-7.99,
12/23/2025,12/24/2025,AMAZON MKTPL*GT4E65733,Shopping,Sale,-58.44,
12/22/2025,12/23/2025,AMAZON MKTPL*905YJ9IB3,Shopping,Sale,-24.51,
12/22/2025,12/23/2025,AMAZON MKTPL*029YD8LD3,Shopping,Sale,-25.95,
12/20/2025,12/21/2025,Payment Thank You-Mobile,,Payment,1269.76,
12/21/2025,12/21/2025,NETFLIX.COM,Bills & Utilities,Sale,-26.65,
12/18/2025,12/19/2025,GOOGLE *HBO Max Stream,Bills & Utilities,Sale,-22.99,
12/16/2025,12/17/2025,SP THE RIVIAN SHOP,Shopping,Sale,-40.59,
12/16/2025,12/17/2025,AMAZON MKTPL*WC12U5323,Shopping,Sale,-23.80,
12/17/2025,12/17/2025,Audible*3T67X3M53,Bills & Utilities,Sale,-0.99,
12/16/2025,12/17/2025,AMAZON PRIME*7V3BK5GS3,Bills & Utilities,Sale,-16.23,
12/15/2025,12/15/2025,GOOGLE *Google One,Entertainment,Sale,-1.99,
12/11/2025,12/14/2025,RIVIAN CAFE,Food & Drink,Sale,-3.23,
12/10/2025,12/12/2025,RIVIAN CAFE,Food & Drink,Sale,-1.62,
12/10/2025,12/11/2025,HLU*HULUPLUS,Bills & Utilities,Sale,-20.25,
12/09/2025,12/10/2025,Peacock 2203C Premium,Bills & Utilities,Sale,-10.99,
12/09/2025,12/09/2025,AUTOMATIC PAYMENT - THANK,,Payment,35.90,
12/07/2025,12/08/2025,Disney Plus,Bills & Utilities,Sale,-13.00,
12/04/2025,12/07/2025,RIVIAN CAFE,Food & Drink,Sale,-12.39,
12/04/2025,12/05/2025,Audible*BI4HA1BJ2,Bills & Utilities,Sale,-13.54,
12/03/2025,12/03/2025,AMAZON MKTPL*BB2A87YK1,Shopping,Sale,-37.88,
12/03/2025,12/03/2025,AMAZON MKTPL*BB4S49DJ0,Shopping,Sale,-72.26,
11/28/2025,11/30/2025,Prime Video Channels,Shopping,Sale,-4.99,
11/28/2025,11/30/2025,AMAZON MKTPL*BB1PS93H2,Shopping,Sale,-30.84,
11/27/2025,11/30/2025,TST*CAFE MADELEINE NORTH,Food & Drink,Sale,-118.05,
11/28/2025,11/28/2025,GOOGLE *YouTube TV,Bills & Utilities,Sale,-82.99,
11/26/2025,11/27/2025,GOOGLE *YouTubePremium,Bills & Utilities,Sale,-22.99,
11/25/2025,11/27/2025,RIVIAN CAFE,Food & Drink,Sale,-12.39,
11/26/2025,11/27/2025,AMAZON MKTPL*B20P06S81,Shopping,Sale,-12.87,
11/24/2025,11/26/2025,RIVIAN CAFE,Food & Drink,Sale,-11.15,
11/24/2025,11/25/2025,SK'S DONUTS (NEW),Food & Drink,Sale,-18.59,
11/25/2025,11/25/2025,GOOGLE *Crunchyroll,Bills & Utilities,Sale,-7.99,
11/24/2025,11/25/2025,Amazon.com*B26EK7AV1,Shopping,Sale,-27.59,
