Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,12/19/2025,"JPMORGAN CHASE   CHASE ACH                  PPD ID: 1000008113",-2070.97,ACH_DEBIT,3003.52,,
DEBIT,12/19/2025,"TRADER JOE S #022 OCEANSIDE CA               12/18",-34.52,DEBIT_CARD,5074.49,,
DEBIT,12/19/2025,"SQ *VIGILANTE COFFEE Oceanside CA            12/18",-31.97,DEBIT_CARD,5109.01,,
CREDIT,12/19/2025,"RIVIAN AUTOMOTIV PAYROLL                    PPD ID: 9111111101",3988.72,ACH_CREDIT,5140.98,,
DEBIT,12/17/2025,"COSTCO GAS #0462 CARLSBAD CA         640655  12/17",-52.96,DEBIT_CARD,1152.26,,
DEBIT,12/17/2025,"COX COMM SAN     PURCHASE                   PPD ID: 1581620078",-80.00,ACH_DEBIT,1205.22,,
CREDIT,12/17/2025,"Online Transfer from CHK ...9583 transaction#: 27359969295",200.00,ACCT_XFER,1285.22,,
DEBIT,12/16/2025,"TRADER JOE S #02 2570 OCEANSIDE CA   551644  12/16",-225.13,DEBIT_CARD,1085.22,,
DEBIT,12/16/2025,"THE UPS STORE 5 760-7294691 CA               12/15",-37.13,DEBIT_CARD,1310.35,,
CREDIT,12/16/2025,"Online Transfer from CHK ...9583 transaction#: 27347248961",300.00,ACCT_XFER,1347.48,,
DEBIT,12/15/2025,"VONS #2142 CARLSBAD CA                       12/15",-8.58,DEBIT_CARD,1047.48,,
DEBIT,12/15/2025,"EXPRESS FUEL OCEANSIDE CA                    12/15",-37.77,DEBIT_CARD,1056.06,,
DEBIT,12/15/2025,"BARCLAYCARD US   CREDITCARD 1351403859      WEB ID: 2510407970",-471.13,ACH_DEBIT,1093.83,,
DEBIT,12/15/2025,"ELAMS HALLMARK #15 OCEANSIDE CA              12/14",-43.27,DEBIT_CARD,1564.96,,
DEBIT,12/15/2025,"BEST PIZZA & BREW - CAR SAN DIEGO CA         12/14",-34.28,DEBIT_CARD,1608.23,,
DEBIT,12/15/2025,"KAHOOTS CARLSBAD - 17 CARLSBAD CA            12/13",-93.14,DEBIT_CARD,1642.51,,
DEBIT,12/15/2025,"SQ *BOUND COFFEE COMPAN Oceanside CA         12/13",-21.57,DEBIT_CARD,1735.65,,
DEBIT,12/12/2025,"EXPRESS FUEL OCEANSIDE CA                    12/11",-48.53,DEBIT_CARD,1757.22,,
DEBIT,12/10/2025,"Online Transfer to CHK ...9583 transaction#: 27282116778 12/10",-100.00,ACCT_XFER,1805.75,,
DEBIT,12/10/2025,"CHASE CREDIT CRD AUTOPAY                    PPD ID: 4760039224",-35.90,ACH_DEBIT,1905.75,,
CREDIT,12/10/2025,"Zelle payment from PHYLLIS P LOWENTHAL 27278536429",400.00,QUICKPAY_CREDIT,1941.65,,
