date,amount,description,category,Account,Is_Recurring
12/28/2025,-66.78,AMAZON MKTPL*FO79D17O3,Amazon,,False
12/28/2025,-4.99,Prime Video Channels,Subscriptions/Streaming,,False
12/26/2025,-22.99,GOOGLE *YouTubePremium,Subscriptions/Streaming,,False
12/28/2025,-82.99,GOOGLE *YouTube TV,Subscriptions/Streaming,,False
12/25/2025,-7.99,GOOGLE *Crunchyroll,Subscriptions/Streaming,,False
12/23/2025,-58.44,AMAZON MKTPL*GT4E65733,Amazon,,False
12/22/2025,-24.51,AMAZON MKTPL*905YJ9IB3,Amazon,,False
12/22/2025,-25.95,AMAZON MKTPL*029YD8LD3,Amazon,,False
12/20/2025,1269.76,Payment Thank You-Mobile,Automotive/Gas,,False
12/21/2025,-26.65,NETFLIX.COM,Subscriptions/Streaming,,False
12/18/2025,-22.99,GOOGLE *HBO Max Stream,Subscriptions/Streaming,,False
12/16/2025,-40.59,SP THE RIVIAN SHOP,Uncategorized,,False
12/16/2025,-23.8,AMAZON MKTPL*WC12U5323,Amazon,,False
12/17/2025,-0.99,Audible*3T67X3M53,Subscriptions/Streaming,,False
12/16/2025,-16.23,AMAZON PRIME*7V3BK5GS3,Amazon,,False
12/15/2025,-1.99,GOOGLE *Google One,Subscriptions/Streaming,,False
12/11/2025,-3.23,RIVIAN CAFE,Dining/Restaurants,,False
12/10/2025,-1.62,RIVIAN CAFE,Dining/Restaurants,,False
12/10/2025,-20.25,HLU*HULUPLUS,Subscriptions/Streaming,,False
12/09/2025,-10.99,Peacock 2203C Premium,Subscriptions/Streaming,,False
12/09/2025,35.9,AUTOMATIC PAYMENT - THANK,Uncategorized,,False
12/07/2025,-13.0,Disney Plus,Subscriptions/Streaming,,False
12/04/2025,-12.39,RIVIAN CAFE,Dining/Restaurants,,False
12/04/2025,-13.54,Audible*BI4HA1BJ2,Subscriptions/Streaming,,False
12/03/2025,-37.88,AMAZON MKTPL*BB2A87YK1,Amazon,,False
12/03/2025,-72.26,AMAZON MKTPL*BB4S49DJ0,Amazon,,False
11/28/2025,-4.99,Prime Video Channels,Subscriptions/Streaming,,False
11/28/2025,-30.84,AMAZON MKTPL*BB1PS93H2,Amazon,,False
11/27/2025,-118.05,TST*CAFE MADELEINE NORTH,Dining/Restaurants,,False
11/28/2025,-82.99,GOOGLE *YouTube TV,Subscriptions/Streaming,,False
11/26/2025,-22.99,GOOGLE *YouTubePremium,Subscriptions/Streaming,,False
11/25/2025,-12.39,RIVIAN CAFE,Dining/Restaurants,,False
11/26/2025,-12.87,AMAZON MKTPL*B20P06S81,Amazon,,False
11/24/2025,-11.15,RIVIAN CAFE,Dining/Restaurants,,False
11/24/2025,-18.59,SK'S DONUTS (NEW),Uncategorized,,False
11/25/2025,-7.99,GOOGLE *Crunchyroll,Subscriptions/Streaming,,False
11/24/2025,-27.59,Amazon.com*B26EK7AV1,Amazon,,False
11/24/2025,-29.99,STEAMGAMES.COM 4259522985,Entertainment,,False
11/21/2025,-26.65,Netflix.com,Subscriptions/Streaming,,False
11/22/2025,-19.43,Amazon.com*B00269KW2,Amazon,,False
11/20/2025,-8.62,RIVIAN CAFE,Dining/Restaurants,,False
11/22/2025,-138.21,AMAZON MKTPL*B02FZ0610,Amazon,,False
11/20/2025,-64.74,AMAZON MKTPL*B01760HL1,Amazon,,False
11/19/2025,-3.23,RIVIAN CAFE,Dining/Restaurants,,False
11/18/2025,-20.99,GOOGLE *HBO Max Stream,Subscriptions/Streaming,,False
11/17/2025,-9.99,WL *Steam Purchase,Entertainment,,False
11/16/2025,-79.29,SQ *VIGILANTE COFFEE,Dining/Restaurants,,False
11/16/2025,-16.23,AMAZON PRIME*9M6UL4WM3,Amazon,,False
11/17/2025,-0.99,Audible*B81560II0,Subscriptions/Streaming,,False
11/15/2025,-194.83,LOWES #01588*,Shopping/Merchandise,,False
11/15/2025,194.83,LOWES #01588*,Shopping/Merchandise,,False
11/13/2025,-12.39,RIVIAN CAFE,Dining/Restaurants,,False
11/15/2025,-1.99,GOOGLE *Google One,Subscriptions/Streaming,,False
11/10/2025,-20.25,HLU*HULUPLUS,Subscriptions/Streaming,,False
11/09/2025,-10.99,Peacock EFF1A Premium,Subscriptions/Streaming,,False
11/07/2025,-13.0,Disney Plus,Subscriptions/Streaming,,False
11/09/2025,-77.93,AMAZON MKTPL*BT50E23A2,Amazon,,False
11/06/2025,-14.26,Amazon.com*NK5VV12W2,Amazon,,False
11/03/2025,-29.99,STEAMGAMES.COM 4259522985,Entertainment,,False
11/02/2025,-49.32,AMAZON MKTPL*NK7VT9MQ1,Amazon,,False
10/31/2025,2715.83,Payment Thank You-Mobile,Automotive/Gas,,False
11/01/2025,-14.99,STEAMGAMES.COM 4259522985,Entertainment,,False
10/29/2025,-3.23,RIVIAN CAFE,Dining/Restaurants,,False
10/27/2025,-3.23,RIVIAN CAFE,Dining/Restaurants,,False
10/28/2025,-4.99,Prime Video Channels,Subscriptions/Streaming,,False
10/28/2025,-82.99,GOOGLE *YouTube TV,Subscriptions/Streaming,,False
10/26/2025,-22.99,GOOGLE *YouTubePremium,Subscriptions/Streaming,,False
10/26/2025,-15.16,AMAZON MKTPL*N42KG7V61,Amazon,,False
10/26/2025,-69.26,AMAZON MKTPL*NU2M52752,Amazon,,False
10/27/2025,-27.92,AMAZON MKTPL*NU5FW0W12,Amazon,,False
10/26/2025,-17.33,Amazon.com*N47F33MX0,Amazon,,False
10/25/2025,-80.23,TST*ODIES PIZZA CO,Dining/Restaurants,,False
10/25/2025,-7.99,GOOGLE *Crunchyroll,Subscriptions/Streaming,,False
10/26/2025,-25.28,AMAZON MKTPL*NU1A082I2,Amazon,,False
10/24/2025,-51.0,ALLSTAR SMOG OCEANSIDE IN,Automotive/Gas,,False
10/24/2025,-47.17,TST* PARLOR DOUGHNUTS- OC,Uncategorized,,False
10/23/2025,-11.15,RIVIAN CAFE,Dining/Restaurants,,False
10/21/2025,-26.65,Netflix.com,Subscriptions/Streaming,,False
10/21/2025,-970.0,KEIL ELECTRIC LLC (...,Uncategorized,,False
10/19/2025,-308.38,LOWES #01588*,Shopping/Merchandise,,False
10/18/2025,-30.76,PHO OCEAN GARDEN,Uncategorized,,False
10/19/2025,-20.99,GOOGLE *HBO Max Stream,Subscriptions/Streaming,,False
10/16/2025,-16.23,AMAZON PRIME*OD5JO4983,Amazon,,False
10/15/2025,-4.4,RIVIAN CAFE,Dining/Restaurants,,False
10/15/2025,-11.15,RIVIAN CAFE,Dining/Restaurants,,False
10/16/2025,-70.24,AMAZON MKTPL*NM0PW69Z0,Amazon,,False
10/15/2025,-1.99,GOOGLE *Google One,Subscriptions/Streaming,,False
10/13/2025,-3.23,RIVIAN CAFE,Dining/Restaurants,,False
10/14/2025,-79.99,PlayStation Network,Entertainment,,False
10/12/2025,-39.03,INGLOURIOUS BAGELS,Dining/Restaurants,,False
10/12/2025,-58.35,Nyx*877-494-3833 EVGO SER,Uncategorized,,False
10/09/2025,-13.47,RIVIAN CAFE,Dining/Restaurants,,False
10/09/2025,-3.23,RIVIAN CAFE,Dining/Restaurants,,False
10/10/2025,-20.25,HLU*HULUPLUS,Subscriptions/Streaming,,False
10/09/2025,-10.99,Peacock 54A25 Premium,Subscriptions/Streaming,,False
10/08/2025,-3.23,RIVIAN CAFE,Dining/Restaurants,,False
10/08/2025,-9.91,RIVIAN CAFE,Dining/Restaurants,,False
10/09/2025,674.36,AUTOMATIC PAYMENT - THANK,Uncategorized,,False
10/07/2025,-12.0,Disney Plus,Subscriptions/Streaming,,False
10/05/2025,-86.59,CIRCLE K,Uncategorized,,False
